product_ID,product_title,price_clean,review_avg,link_product_image_clean
2437063408,"[TRỢ GIÁ] Tinh dầu Mộc Nhiên nguyên chất có kiểm định nhiều mùi 10ml, treo xe, kẹp điều hòa: Tinh dầu Sả Chanh, Bạc Hà",28000,4.14,https://cf.shopee.vn/file/a8feaf25160fdeec741d2c01232c63b1_tn
757395285,"(Tặng que khuếch tán) Tinh dầu Nhà Mộc nguyên chất có kiểm định giúp khử mùi, thư giãn.",14000,4.37,https://cf.shopee.vn/file/032d0ab2b7d83a47e752da27aa7f6024_tn
319246859,"1kg Túi Bóng Đen Đựng Rác, Gói Hàng Siêu Rẻ",25000,3.49,https://cf.shopee.vn/file/06eaa4e39a885e9bbfe42f2beab1d9a7_tn
3772349907,Túi lưới giặt đồ cho máy giặt loại đủ size,7000,3.92,https://cf.shopee.vn/file/077fe6e7a813c67827d8125683f47aea_tn
3905609924,ÁO MƯA HOẠT HÌNH KAKAOTALK MĂNG TÔ THÁI LAN DỄ THUƠNG ĐÀO APEACH GẤU RYAN KAKAOFRIEND KAKAO,84000,4.02,https://cf.shopee.vn/file/6ad5f368c5ba1c989df1ebb6e340dd26_tn
2250997588,"Dụng cụ miết giấy, dán giấy và keo sữa dán mép",2000,3.62,https://cf.shopee.vn/file/a1924a4f6685c1b8c84cb4f6cc7fed86_tn
3095055567,Phễu rót mỹ phẩm mini- Phễu Mini Rót Chiết Nước Hoa Mỹ Phẩm Tiện Lợi Duashop,1200,4.07,https://cf.shopee.vn/file/e4329a03b0791e7293387b5103b37309_tn
1523948511,"Móc treo tất vớ inox 8 kẹp chống rơi MDT, móc phơi đồ lót sơ sinh đa năng _M39",29000,4.34,https://cf.shopee.vn/file/1ea88848aaae80237b239272c04502f6_tn
3887386289,"Miếng dán kệ nhà tắm, kệ góc trong suốt thay đổi vị trí mới [Bộ 2 miếng]",15000,3.93,https://cf.shopee.vn/file/043fc45c22ab67e29d3eb34083f19c51_tn
1456817475,"Túi giặt chăn ga REE Bedding loại lớn 60x60cm, lưới mắt nhỏ cao cấp TG63",45000,3.03,https://cf.shopee.vn/file/005816ece19af23b9738cf79350ca070_tn
3326803338,Móc Nhựa 4 Chấu Tiện Lợi Xoay 360 Độ,3800,4.07,https://cf.shopee.vn/file/ab80b12a370c65a100f701b815c7b20a_tn
2302614212,"Thìa lật thực phẩm bằng gỗ, Xẻng gỗ, Muỗng gỗ decor, trang trí",10500,4.42,https://cf.shopee.vn/file/f5eb341f82c3d3e0b31d68a7a556cee8_tn
2974213669,[LẺ 1 VIÊN] Pin Con Ó Pinaco - Pin AA/ Pin AAA - Pin Tiểu - Pin Đũa 1.5V,1300,3.97,https://cf.shopee.vn/file/61c6f81fd7ce99fc9b7d48c627f2ec7f_tn
48933129,Gương soi toàn thân cao cấp 40x1m2,299000,3.63,https://cf.shopee.vn/file/9e5d3a35662147d54b97dc16170c0f98_tn
1589785534,Quạt nhựa kute xua tan nắng hè,2700,3.79,https://cf.shopee.vn/file/747003176f48d9522b351f56f7295e7f_tn
59264646,Set 50 Miếng Dán Chống Thấm Nước Trang Trí Đa Năng,21000,3.86,https://cf.shopee.vn/file/c943262e5a8d19be32def0fd23000ae2_tn
3470229400,SEN ĐÁ RANDOM SIZE TRUNG BÌNH “HẠT DẺ’’ 9-12CM (1 CÂY)🏺MUA NHIỀU CHỌN KHÁC LOẠI (TỐI ĐA 5 LOẠI) 🌈,39999,3.82,https://cf.shopee.vn/file/855d698ea7e33f4abb0ee77b288f7971_tn
2444694799,[Mã LIFE2410K giảm 10K đơn 20K] Cuộn 100 mét dây thừng trang trí Hanmade,18000,3.8,https://cf.shopee.vn/file/21028c8607dce7a9ee11e291d2626d4e_tn
985502221,BONG BÓNG KIẾNG HÌNH NGÔI SAO – TRÁI TIM (NHIỀU KÍCH CỠ),1900,3.77,https://cf.shopee.vn/file/c7fe2a69d183fc12fb9b331266f08e42_tn
3334314083,Set 9 móc áo nhôm size 40 cm,11000,3.44,https://cf.shopee.vn/file/6eb60a26503c66a7d45c0c87c79be435_tn
2966538696,"Phin pha cà phê phin màu anode chất lượng, sang, phin nhôm pha cafe cao cấp từ Message Coffee",54000,3.78,https://cf.shopee.vn/file/10a1d6649f497191effa5ae56119b697_tn
2923684402,Băng dính chuyên dụng dán bóng trang trí,5000,3.92,https://cf.shopee.vn/file/5c3acc672af5234c1632ee0992869e0a_tn
2160114576,Kệ Tab Trang Trí Đầu Giường - Dài 50cmx cao 50cm,129000,4.31,https://cf.shopee.vn/file/2ef4efb03ed1e4d2e4cb9bdd5e0355d6_tn
3507445744,Bình lắc Shaker pha chế nhựa chia vạch đen 350ml- 500ml - 700ml - 1000ml - nắp bình lắc,28000,4.72,https://cf.shopee.vn/file/9e394bac7555cfe0fdbd167cac6611b0_tn
2801000309,Nhãn Dán Tường Chống Thấm Nước Hình Con Vịt Đáng Yêu Dùng Trang Trí Nhà Cửa,23000,4.43,https://cf.shopee.vn/file/c36a3cd7f8ac1ca09b3c908be9dee0c2_tn
3337495990,"Combo 5 Bong bóng bay matte cỡ lớn 25cm trang trí sinh nhật, thôi nôi cho bé trai, bé gái, trang trí phòng cưới đẹp PK29",3990,3.94,https://cf.shopee.vn/file/307e66edc990461720fa49e88ab613f3_tn
1262985415,"Chậu đất nung 7x7cm |FREESHIP| Xuất xứ Bát Tràng, Lỗi 1 đổi 1.",10000,4.08,https://cf.shopee.vn/file/f2cef7a1fbc5bd405e6410826ddfa8ca_tn
1112297819,[ĐỔ BUÔN GIÁ SỈ] 100 chiếc Phong Bì Phong Thư có kéo dán sẵn loại dầy đẹp,17000,3.48,https://cf.shopee.vn/file/75e1ff52fcbe0d9680a96e94c77e9ac5_tn
4083650322,"Túi bóng bay 50 quả hoặc 100 quả- Mix 2 màu - Bóng Nhũ dày dặn đẹp màu - Size 30cm (Bóng bay trang trí sinh nhật, cưới)",9900,4.01,https://cf.shopee.vn/file/d980f1141e18667407e93f1b67f68445_tn
308566109,lọ xay tiêu thủy tinh hàng việt nam chất lượng cao,17000,4.09,https://cf.shopee.vn/file/bb4c89801121548406b2ba0cc2234e05_tn
879577458,"Cây lau nhà tự vắt thông minh HAMA, Oval Standard 👍, mã GD_VS_001",179888,3.26,https://cf.shopee.vn/file/41459bb364001634de121e2eee40372d_tn
3218166074,"Thảm Chùi Chân 30cm x 46cm San Hô Đinh [Xả Kho] Siêu Thấm Nước,Chống Trơn Trượt (Màu Ngẫu Nhiên)",14500,3.22,https://cf.shopee.vn/file/bdf034c40e64c7971e267d13d8e3cef3_tn
2637840363,Móc treo đồ dán tường sáng tạo tiện dụng,1000,3.02,https://cf.shopee.vn/file/4afa9503678190347f72fb2b5dc4f9b1_tn
136786269,COMBO 8 MÓC DÁN TƯỜNG HỌA TIẾT 3D SIÊU CHỊU LỰC,14000,3.78,https://cf.shopee.vn/file/cbea66101bec8c0ca4af7269af64f1b4_tn
4273194843,Phích cắm điện đa năng chuyển đổi 3 chân thành 2 chân,12000,3.34,https://cf.shopee.vn/file/6a15ec7def4dfe7ffc594a83fd12c5d3_tn
1562035355,Băng keo chuyên dụng dính bóng,5000,4.25,https://cf.shopee.vn/file/c9a374e41778fe9d1df0f4c2bbf5dac0_tn
3554977204,[GIÁ RẺ NHẤT] Chậu treo bí lớn đủ màu (kèm quai treo),5900,4.0,https://cf.shopee.vn/file/8bef46864b9f640c4310fde4ec15ccb3_tn
661032220,Khuôn silicon làm Xúc xích cho bé ăn dặm,23000,3.86,https://cf.shopee.vn/file/fd0b98cf3068abb39a0e9805c2fe7b16_tn
518864735,[Mã LIFE2410K giảm 10K đơn 20K] Khuôn nhựa làm đá Duy Tân 10 viên - Màu ngẫu nhiên,15000,3.38,https://cf.shopee.vn/file/44198810d0ad9407365c8f227512443c_tn
1885903287,Bộ 35 Miếng Dán Chống Thấm Nước Trang Trí Đa Năng,21000,3.96,https://cf.shopee.vn/file/bf45047d2b10f103cc3f14f3fdc3c577_tn
2685571157,"Kệ Dán Tường Để Remote, Đồ Dùng/ Giá Đỡ Sạc Điện Thoại - Có Móc Treo Giữ Dây Điện",14500,3.78,https://cf.shopee.vn/file/eef6d33a895ee5802384dab8e4b15a4e_tn
714944319,Khung Ảnh Để Bàn Hoặc Treo Tường Giá Rẻ 4Size 9x13 10x15 13x18 15x21,16000,4.05,https://cf.shopee.vn/file/23afe4f9ab8307fc9390f43d723ecb79_tn
1654728020,"Hũ đựng gia vị, dầu ăn, mật ong chất liệu thủy tinh cao cấp",28000,3.77,https://cf.shopee.vn/file/a58ace410814d034f62189227d1563de_tn
1440642184,[KM] Set 10 thìa phở xen inox - sus304 (GC),21490,4.3,https://cf.shopee.vn/file/144ae89274aadaa0597ee56c1060dba9_tn
3399414601,Chảo chống dính 20cm ❤️ FREESHIP ❤️ Dùng mọi loại bếp,55000,4.45,https://cf.shopee.vn/file/1ea918ead70f187871b5b6a4b3409787_tn
1942421405,[Mã LIFE2410K giảm 10K đơn 20K] Bóng cao su thường 10inch túi 20q,12000,4.6,https://cf.shopee.vn/file/7ad43b4b4f7bbd1a8fc6cd90e174d54d_tn
4023446104,"[Mã LIFE2410K giảm 10K đơn 20K] Hộp Nhựa Tròn Đựng Thực Phẩm Duy Tân Matsu dung tích 250ml (10 x 10 x 6,6 cm)",25000,4.56,https://cf.shopee.vn/file/ae060a7a150cc77b2261293718aed17c_tn
3888091286,[Mã LIFE2410K giảm 10K đơn 20K] khuôn cơm cho bé ăn dặm kiểu nhật,3900,4.56,https://cf.shopee.vn/file/f720669b3efa2ae725660d0ab265b33a_tn
1924155845,"[ XẢ KHO ] Nệm bông xuất Nhật - 1mx2m, 1m2x2m, 1m4x2m, 1m6x2m, 1m8x2m - Màu Trắng, Xám",338900,4.6,https://cf.shopee.vn/file/efecec5bb3758d8a73fc3609f755a6ba_tn
2409845734,Kẹp ảnh ngộ nghĩnh kèm dây ( 10 kẹp và 1 dây)-3cm,8000,4.42,https://cf.shopee.vn/file/dd4ab66431d3851e5d45e967497a12cd_tn
3727783309,20x10x10 Hộp carton đóng hàng,1600,4.24,https://cf.shopee.vn/file/85bd9c68e970b87ff7ff2a9b430abf7b_tn
455716326,Khuôn tự làm bánh bao bằng rơm lúa mì tiện dụng cho nhà bếp,16047,4.32,https://cf.shopee.vn/file/01b0d2a5cbdf7a2dc0ffb7256206e38a_tn
2803879873,(Sale) 1kg Túi bóng đen hàng đẹp loại 1 cực dai đẹp đủ kích thước,19999,3.94,https://cf.shopee.vn/file/750d95f03f074b9936b2424cffa55c68_tn
1824048586,KỆ GIA VỊ CHỮ H NHỰA VIỆT NHẬT,11900,3.87,https://cf.shopee.vn/file/83801449acc7993af77a84b63657f08c_tn
2115300770,Bộ sticker trang trí tự chế độc quyền,3549,2.96,https://cf.shopee.vn/file/4933b3beda67c95162eb0614f830561c_tn
336697688,[Mã LIFE2410K giảm 10K đơn 20K] Rổ nhựa hoa mai Song Long chất liệu nhựa PP an toàn br00392,20800,3.87,https://cf.shopee.vn/file/5647b546c81b54b18daf89e3d073f049_tn
2203357907,KHĂN MẶT LÔNG CỪU XUẤT HÀN siêu mềm,15000,3.57,https://cf.shopee.vn/file/4b43eed454be8977955c3e1f08b916e9_tn
1535538707,Bong Bóng Magic789 Màu Marcaron Đẹp Mắt Dùng Trang Trí Tiệc Cưới / Sinh Nhật / Năm Mới,1000,3.7,https://cf.shopee.vn/file/2c91fb53b08f0a74583f70ed90ea855b_tn
708256073,Thảm Treo Tường Trang Trí Kiểu Dáng Đơn Giản,54000,3.42,https://cf.shopee.vn/file/ac9e3e9b606392cb4c2153b20e1c0f0e_tn
725544509,[ Giá sỉ ] 500gr Gói hút ẩm - hạt hút ẩm đầy đủ các loại,40000,4.55,https://cf.shopee.vn/file/a6b6afa613bddda2a3cff6a69976c436_tn
1923594810,"Máy xay tỏi ớt bằng tay Lock&Lock (nhiều size) - Hàng chính hãng, lực nghiền mạnh với 3 lưỡi dao thép không gỉ - JoyMall",99000,4.07,https://cf.shopee.vn/file/69f2dde2777de4ef8362126ddcc89944_tn
1042818091,Đèn bàn LED chống cận 6W Rạng Đông,200000,3.9,https://cf.shopee.vn/file/4131183ad9630d114f02afdc31671937_tn
2727352282,Dây chữ happy birthday ép kim loại đẹp có video ảnh thật,22900,3.96,https://cf.shopee.vn/file/9eab4607ec7625b1ef3e16a2ee634956_tn
1484954495,"Vỏ Bộ Khuếch Tán Tinh Dầu Julyhouse dạng đầu kẹp gắn xe ô tô, quạt",39000,4.1,https://cf.shopee.vn/file/e2a5aaba5b01ca41892e6da5f5d04adc_tn
2981046031,Bộ 50 miếng dán hình tem phong cách hoài cổ cho ván trượt và sổ sách,22000,3.73,https://cf.shopee.vn/file/611f23a3614550ac3b089da541225906_tn
